route_short_name,stop_sequence,stop_name,stop_lat,stop_lon
S2,22,La Creu Alta,41.554954,2.100385
S2,22,Gràcia,41.39909823,2.152662325
S2,23,Sabadell Nord,41.561225,2.096657
S2,23,Provença,41.39281434,2.158030869
S2,24,Sabadell Parc del Nord,41.571291,2.089499
S2,24,Barcelona - Plaça Catalunya,41.38563194,2.168720219
S3,1,Barcelona - Plaça Espanya,41.3747199,2.148458333
S3,1,Can Ros,41.39882061,2.005346458
S3,2,Magòria La Campana,41.36748768,2.138879447
S3,2,Sant Vicenç dels Horts,41.38810839,2.012398952
S3,3,Ildefons Cerdà,41.36090867,2.130023266
S3,3,Santa Coloma de Cervelló,41.37064766,2.023520241
S3,4,Europa | Fira,41.35655892,2.124199344
S3,4,Colònia Güell,41.36386336,2.031859416
S3,5,Gornal,41.35488589,2.117431558
S3,5,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
S3,6,Sant Josep,41.36070098,2.10991665
S3,6,Sant Boi,41.34856143,2.042855988
S3,7,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
S3,7,Cornellà Riera,41.35147828,2.071263627
S3,8,Almeda,41.35306747,2.085251402
S3,9,Cornellà Riera,41.35147828,2.071263627
S3,9,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
